iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
060880303,06088,Nice,TNL-Beaumont,True
060880304,06088,Nice,Riquier-Arson,True
060880305,06088,Nice,Riquier,True
060880401,06088,Nice,Mont Boron,True
060880402,06088,Nice,Carnot,True
060880403,06088,Nice,Mont Alban,True
060880404,06088,Nice,Bischoffsheim,True
060880501,06088,Nice,Diables Bleus,True
060880502,06088,Nice,Saint-Jean d'Angély,True
060880503,06088,Nice,Saint-Roch-Jean XXIII,True
060880504,06088,Nice,Vauban,True
060880505,06088,Nice,Saint-Roch-Ricolfi,True
060880506,06088,Nice,Saint-Charles,True
060880507,06088,Nice,Roquebillière,True
060880508,06088,Nice,Pierre Semard,True
060880509,06088,Nice,Mont Gros,False
060880601,06088,Nice,Lyautey-Gendarmerie,True
060880602,06088,Nice,Paschetta,True
060880603,06088,Nice,Pasteur,True
060880604,06088,Nice,Pasteur-Voie Romaine,True
060880605,06088,Nice,Pasteur-Saint-Pons,True
060880701,06088,Nice,Route de Turin,True
060880702,06088,Nice,Bon Voyage,True
060880801,06088,Nice,Vinaigrier,True
060880901,06088,Nice,Ariane-Les Chênes,True
060880902,06088,Nice,Ariane-Monzie,True
060880903,06088,Nice,La Lauvette,True
060880904,06088,Nice,Ariane-Ripert,True
060880905,06088,Nice,Ariane-Saramito,True
060881001,06088,Nice,Cimiez-Monastère,True
060881002,06088,Nice,Brancolar-Régina,True
060881003,06088,Nice,Brancolar-Scudéri,True
060881004,06088,Nice,Cap de Croix,True
060881005,06088,Nice,Rimiez,True
060881101,06088,Nice,Puget,True
060881102,06088,Nice,Parc Chambrun,True
060881103,06088,Nice,Le Ray-Gravier-Dunant,True
060881104,06088,Nice,Gravier,True
060881105,06088,Nice,Henry Dunant,True
060881201,06088,Nice,Nice Nord-Saqui,True
060881202,06088,Nice,Comte de Falicon,True
060881203,06088,Nice,Cernuschi,False
060881204,06088,Nice,Las Planas-La Vallière,True
060881301,06088,Nice,Cessole,True
060881302,06088,Nice,Saint-Barthélemy,True
060881303,06088,Nice,Gorbella,True
060881304,06088,Nice,Saint-Sylvestre,True
060881305,06088,Nice,Villa Arson,True
060881306,06088,Nice,Cyrnos,True
060881307,06088,Nice,Cyrille Besset-La Forêt,True
060881308,06088,Nice,La Clua,True
060881309,06088,Nice,Canavese,True
060881401,06088,Nice,Évêché,True
060881402,06088,Nice,Bellevue,True
060881403,06088,Nice,Le Righi,True
060881404,06088,Nice,Mantega,True
060881501,06088,Nice,Marceau,True
060881502,06088,Nice,Thiole,True
060881503,06088,Nice,Jeanne d'Arc-Fuon-Cauda,True
060881504,06088,Nice,Michel-Ange,True
060881505,06088,Nice,Michelet,True
060881506,06088,Nice,Borriglione-Saint Lambert,True
060881601,06088,Nice,Carabacel,True
060881602,06088,Nice,Acropolis-XVe Corps,True
060881603,06088,Nice,Sainte-Rosalie-Arbre Inférieur,True
060881604,06088,Nice,Cimiez,True
060881605,06088,Nice,Caravadossi-George V,True
060881606,06088,Nice,Cimiez-Valrose,True
060881701,06088,Nice,Promenade du Paillon,True
060881702,06088,Nice,Hôpital Saint-Roch,True
060881703,06088,Nice,Raimbaldi,True
060881704,06088,Nice,Desambrois,True
060881705,06088,Nice,Sasserno,True
060881801,06088,Nice,Gare Nice-Ville,False
060881802,06088,Nice,Vernier,True
060881803,06088,Nice,Trachel,True
060881804,06088,Nice,Clément Roassal,True
060881805,06088,Nice,Garnier-Gare de Provence,True
060881901,06088,Nice,Grosso,True
060881902,06088,Nice,Église Russe,True
060881903,06088,Nice,Parc Impérial,True
060882001,06088,Nice,Le Piol-Cyrnos,True
060882002,06088,Nice,Saint-Philippe,True
060882101,06088,Nice,Carlone,True
060882102,06088,Nice,Madeleine Robiony,True
060882103,06088,Nice,La Bornala,True
060882104,06088,Nice,Madeleine,True
060882201,06088,Nice,Liberti-Albert 1er,True
060882202,06088,Nice,Notre-Dame,True
060882203,06088,Nice,Jean Médecin,True
060882301,06088,Nice,Musiciens,True
060882302,06088,Nice,Rossini,True
060882303,06088,Nice,Clemenceau,True
060882304,06088,Nice,Thiers-Durante,True
060882401,06088,Nice,France-Negresco,True
060882402,06088,Nice,Victor Hugo-Buffa,True
060882501,06088,Nice,Dante,True
060882502,06088,Nice,Bottero,True
060882503,06088,Nice,Potiers,True
060882504,06088,Nice,Châteauneuf,True
060882601,06088,Nice,Lenval,True
060882602,06088,Nice,Magnan,True
060882603,06088,Nice,Baumettes,True
060882701,06088,Nice,La Californie,True
060882702,06088,Nice,Pastorelle-Bosquets,False
060882703,06088,Nice,Faculté de Lettres,True
060882704,06088,Nice,Gattamua,True
060882705,06088,Nice,Abbaye de Roseland,True
060882801,06088,Nice,Carras,True
060882802,06088,Nice,Caucade,True
060882803,06088,Nice,Lanterne-Mandariniers,True
